03DB03A9	hercules dalianis
4AB52539	sivalogeswaran ratnasingam
5A2C2F5C	predrag b rapajic
633098A1	ali soltanifarani
74D633D4	florent brunet
75FDC1C2	maj mirmirani
7698B479	ahmed h el zein
78E19D25	s sajja
7D001A94	herman te riele
7D3FD686	david j hill
7D51C05A	alonso marquez
7D5F7D01	yoong siang oh
7D9D7652	ming zhao
7DCA314F	lei wang
7DD6E077	mustapha ait rami
7E3C2C27	charith perera
7E9C9129	weiming hu
7EF56628	rene vidal
7F016E6F	judy kay
7FAD3B81	susan d wilson
7FC35961	sebastien wong
7FD10B5B	dale miller
804C2BE7	hui wang
805452F9	huang huang
80C15186	hannah j joyce
80FE802A	zichuan xu
83551A36	xiaohu zhang
83932E7D	eric mccreath
83B32C88	hadi mohasel afshar
83D52AA1	david grove
84B1667C	yiran zhong
84FD3350	charles martin
84FD5E45	jun tu
851B9F36	mark brown
8541FD61	tianlong see
85432015	myriam servieres
857D2C47	brenan j mccarragher
13D255FC	denny
24885D04	valery a ugrinovskii
2968B209	walter f bischof
4852C47C	rowel atienza
70B821F6	thomas gartner
745099E7	usman qayyum
74BF22DF	dino miniutti
778887DE	viorica botea
78FAE8DC	sandun kodituwakku
7964DCF3	andrew slater
79ACBA8D	richard hartley
7A1E722D	terry caelli
7C7F16DA	s masrom
7D0E7C50	a c lee
7D1CA551	mac boot
7DD65B67	yuko kinoshita
7E2CDB5A	xiang wu
7E5A3B2D	aashish phansalkar
7E7DC11F	lisa m brown
7E8EBAD5	malcolm c smith
7EF29499	monique rooney
7EFA4429	enrico scala
7F655968	l andrew coward
7FAD1537	kristian beckers
7FED2C47	anthony milton
7FF416BB	mathieu salzmann
8022E561	gao zhu
80235D45	tiejun gao
805F1542	bruce p graham
80C017B3	qing wang
80E5260B	gem stapleton
80F2BA33	john lloyd
80F9ACCC	alan m zaslavsky
8111634F	surya prakash
83A725B4	clive boughton
84A0B18D	lei wang
84F82E20	jinho huang
852368A8	chalapathy net
85722688	yang li
85835127	jin yu
862151B6	mile gu
8639459A	vinayak rao
03AC3971	karim faez
2892EC45	abdkrim seghouane
2BE7BFA1	manfred deistler
5FB72FCA	viorica botea
6D6C98E9	odalricambrym maillard
7575B385	srimal jayawardena
759EFCA3	julien epps
76722C4A	luka cehovin
77838DBD	ken brodlie
7C476DDE	andrea lecchinivisintini
7CD48D7A	nimalan nandapalan
7CEA82BB	ben gilbert
7D383FB3	yang xi
7D5E8FD2	h lee
7DA79604	xiaolei hou
7DC2B838	yunde jia
7E514AC9	ashley stacey
7E724602	ke zhang
7EE19277	james j jiang
7EE64C62	sylvain foret
7EF90941	elisabeth crawford
7F2DC50F	cong phuoc huynh
7F524790	xiao bai
7FE1B4EB	hari sundaram
801F8977	noboru yamamoto
8074566C	kristian mogensen
80B067CA	gavin bell
8134BD33	warick brown
83B958F4	m m rahman
84F19F8B	adele scott
84F47F17	rodney a kennedyy
852160EF	zhenyu jiang
8523C188	zheng li
857D5E8F	qiang wu
8625885B	olivier bousquet
06822F88	tharaka a lamahewa
0F83345D	wray buntine
2BAA2D72	antony l hosking
761D44B7	a muffett
78B9E9E8	r j bridle
7905DCC7	pietro abate
790865D6	ibrahim radwan
797F8A7A	s m a salehin
7A630060	orson sutherland
7CFF95FD	baoqi huang
7D35ACA8	c c fung
7D741FBC	weihua chen
7D867D4F	pei h leong
7DC20A72	r i mckay
7E101BC9	c j hoffmann
7E6D8366	debdeep banerjee
7EB09D0A	gareth oliver
7EB0D329	d louis collins
7F3194AE	m j hill
7F49D984	sergey goncharov
7F712596	masoud nikravesh
7FF5D777	nicole dodd
80137105	k w wong
804D7234	kahlil hodgson
809656CE	yueshi shen
80BB0959	zhihui hao
80FC7C3B	matt adcock
81A97654	yantao feng
825A5D7A	jungwoo ha
82A00C76	hui wang
842AA3FA	e vikram krishnamurthy
8499E215	asjad m khang
8514EABC	anindita saha
8517F900	ming matt ruan
8581D0E9	jaehak kim
12E31729	lukas polok
1CC4276F	froduald kabanza
2B601E0C	ali zarezade
7222CBD6	bertrand clarke
77ED4491	john howse
78B1C254	michael milford
78CA61A3	john k slaney
792A459A	uditha r ratnayake
7B96E893	s ruffell
7D96C3B9	diyang chu
7DDA5494	zhongping jiang
7E483089	zhiyu wang
7E5AA073	peter baumgartner
7ED8858C	david hobbs
7FC119BD	pascal perez
7FC26F4D	tony s pollock
803F67EF	jie zhou
806BA1B9	atif m memon
809878DD	k s ng
80BE0BEA	emil keyder
80C3E9F4	ju lynn ong
812B5E49	clive boughton
81448539	dongsong zhang
814C4E1A	jianbing shen
81B2E063	keng t tan
83801074	tomasz celinski
84992D89	ale leonardis
84A416A1	zhouyu du
84EE09A0	hark hoe tan
85463C50	t s jones
855CF0FD	matthew arnold
05D00772	sebastien poullot
0A41A5F7	terence betlehem
0B4EC410	salah sukkarieh
10F48FA4	olivier tardieu
12D9BB26	georg nebehay
13AD5209	imants svalbe
19F8CF33	chalapathy neti
218FC6C0	vijay varadharajan
27C28515	a dhammika s jayalath
30B0B411	stephane canu
3AE54BAD	nicholas apostoloff
448425BB	thomas vandrunen
5B2D8A90	tamir yedidya
73BDFE0C	hartmut hoehle
767B00B1	alexandre eudes
76C93247	apostol natsev
7B5DA040	david f bacon
7C7E3481	nermin samet
7DAFECC3	steve blackburn
7DC58A65	stephen gould
7E1C91D3	arvin dehghani
7E2B2390	haixun wang
7E5BC035	suisin khoo
7EC1FD0D	jianke zhu
7EC8F39A	roberto santana
7F26D1F4	xiaoyu ge
7F81EC45	aastha gupta
7F9BC9F3	fei wu
7F9FE1E0	elin carlsson
80057D2A	z sun
80381E2E	ahmed sohaib
805BB604	martin leucker
806E3093	wei yang
8096E0B0	jonathan schaeffer
8102C207	salman durrani
810952AA	yihong yao
82C8A2BF	amer diwan
832EBADF	akshay asthana
833D1754	qing wang
84C290BA	jinbo huang
84E2AD46	sebastian fleissner
850BF863	swapnil mishra
8543BA03	zhiqiang zheng
85B168DC	huan liu
00491B58	a j jakeman
00E27758	alexandros karatzoglou
140E2F1C	peter eades
1747918A	roy timo
521DCD46	suilan estevezvelarde
7899168C	javaan chahl
7DC61597	carl olsson
7DF5970C	alwen tiu
7E3E33B0	meixia tao
7E7FCF3F	toby collins
7E889567	graham r williams
7E988655	marco bernardo
7EA281B6	lingling tao
7EA863A9	cheng soon ong
7EE879CE	sanlin xu
7F6BD155	jian zhang
7FA7A44B	sitalakshmi venkatraman
7FB90EFD	john r smith
7FD138F0	andrew a haigh
8032575B	xiuping jia
80BB7CDE	phuong nguyen
80C373D0	zubair khalid
812CA2D7	media anugerah ayu
8138D95F	beryl plimmer
8154EB28	dingzhu du
8206D20A	xiaola lin
8453D68F	jianxin li
84A071B3	l a coward
84D401CD	alistair riddell
84EFF999	lakshmi sreenivasareddy dirisinapu
84F2906C	saifullah m dewan
85051564	chris putnam
8543B6A4	jae hee lee
0032F0EA	remy malgouyres
012BE21F	giulio bottegal
480DCE9E	jochen trumpf
6CDAD1BE	sumithra velupillai
7318C12D	vikas shivashankar
75618091	gordon wyeth
761A5DEC	andrew gacek
769FAA6C	elena akhmatskaya
78FA4083	alexander zelinsky
7B41ACB4	mike quirk
7C4CB82C	arun vishwanath
7D30E7BE	gordon v cormack
7D5C5DC9	thorsten wismann
7D814A42	brian murphy
7D9F65D1	kevin p murphy
7DE68BE5	david kearney
7DF394E9	peng cui
7E56196A	bin liu
7E8739D7	mark d reid
7EEC7E10	zhouyu fu
7F770EB7	adrian horridge
7FF39D77	rajeev gore
80503197	steven w su
80A06CD4	qiang gao
80EA587F	ian r petersen
81C54D2D	vaughan coulthard
82C075CD	peter carr
83036BE5	marc pollefeys
848247DE	honglin yu
853F97B8	wayes tushar
85505E51	gaurav sood
85812B39	m j wagner
859559F6	michael chaosheng chang
03CC8BE8	pavel zemcik
0411E947	agung fatwanto
08A54560	dinusha vatsalan
1272F93B	torben sko
19F90212	pietro torasso
64B0A84F	masashi yanagisawa
70FC42D5	benjamin swift
78288BA1	gopalan nadathur
798AF427	ramtin shams
7A90472D	muriel medard
7AAF30F0	eric a lehmann
7B84E2F7	charlotte hucher
7BE07CAE	patrick meir
7BE5F608	lawrence mutimbu
7D34FE91	qing hua qin
7D94600B	john a richards
7D96FE39	ben evans
7E1A984A	john downs
7E5476F2	x huang
7E6F177C	michael a collins
7EBA6196	jonghyuk kim
7EEE279F	wee gin lim
7F76DD7F	wibe a dejong
8038CE34	yuzhen liu
806383D6	yifan lu
8098324B	aisha khan
80E55FFF	ken taylor
8229E774	xin du
82CCD92D	elizabeth bradley
8320510C	tao liu
8487D7A3	mohamed el helw
85201743	tom rowlands
85239D86	peter chapman
85260870	joseph chan
857D0A38	helene pietlahanier
00380FAD	vidas daudaravicius
0E32EDBA	dumidu s talagala
0F8C8980	jochen garcke
3CE31038	frank schreckenbach
59B047DA	sajjad taghvaee
59EEF8A8	james bornholt
762D650B	tiberio s caetano
777C0155	lutz schroder
78DF8529	lei liu
798C5DA6	dhammika jayalath
79C5088F	m heurs
7D9AE2FD	aditya krishna menon
7E11BE47	j marchand
7E71C7C8	junae kim
7EB1264F	paul zimmermann
7F8A6C15	jill middleton
7FD99340	y j wu
7FF3CF18	lang white
80772DD9	edwin bonilla
811DE03F	david austin
815C8B7D	h t nguyen
83AC3F42	ga wu
83CB19E3	michael wagner
83D8F334	tiberio s caetano
847256DD	brandon ayers
84771A11	trung v nguyen
84B10385	u ravi babu
84CC6BA0	thien d nguyen
8633820D	bin jiang
062E2442	linda postniece
11AC56CF	pascal o vontobel
4ACE43E4	faris abousaleh
75D99B0F	peter m dower
76101823	hendra gunadi
7851D001	david toman
7A7A25F0	michael breakspear
7D132A54	yiqiu fang
7DAFC2C8	david walsh
7E6342E8	ke jia
7E8929B9	ji zhang
7EC97CCD	nan yang
7ECA605E	chuankun wu
7ED07566	soura dasgupta
7F3339FC	david rodda
7F68F47C	geoff stacey
7F7831BF	pan ji
7F9F90BA	tong wu
8050550F	anders eriksson
8060B208	minyi huang
80F9A3B0	samantha yueying lim
81265D41	p coote
8147DC19	harel paz
82D5B069	phil rose
8362FD4D	armin haller
8457D41A	brendan harding
84BA12F5	rifat shahriyar
853B7848	matthew gray
856C6D2D	jaehak kim
8592B402	thomas hofmann
863EBD6C	p sunehag
0DA8F21A	john r kender
10F2590C	kirill kouzoubov
1A0191CC	douglas aberdeen
2B4BFA89	steven d blostein
7662BC82	pascal schweitzer
767084B2	m g nagle
7695FF38	j m davoren
769A6617	timothy sears
77BA7786	patrick m wensing
77ECDA97	antonio robleskelly
782311E3	bariş fidan
790E5B79	vasanta chaganti
79734997	franz baader
79E07AD2	k t milne
7A0838AF	sheila mcilraith
7B863D5B	mario edoardo maresca
7CEFAEC5	yi lin
7D42AA3C	mostafa ozlati moghadam
7D78ED7F	chuankun wu
7DCA0F40	parastoo sadeghi
7DD6D0B2	kevin lee
7E1371F5	hien d nguyen
7E28841B	robby t tan
7E2B669B	quoc v le
7E59DB7D	j w larson
7E847E1E	mathieu salzmann
7E8ACC1D	xuanying zhu
7EA48A0E	mahdi zamani
7F73C5C8	ali salehi
7F8AB5D7	lijiu zhang
7FAB74E7	suzanne a pierce
8073FC3F	sigi goode
80FBEF76	john rice
810F0F1E	peng zhang
81477897	jan c willems
82D3D8B9	arkady zaslavsky
835DCDF6	david rajaratnam
83FE0BD5	bo su
841E099B	h truong
8475F8B2	shaochun huang
847C54BC	richard hartley
84B9BC0B	jian zhang
85AE6714	daniel mcnamara
85C2012D	olivier barreteau
001DC666	ben lippmeier
085A4A24	meladel mistica
0A7444DB	patrick mcconvell
0B3E37C7	vinod tipparaju
5EC0A157	s h cavallar
75D9DA47	michael broughton
7686BB3A	florent le bras
7774861B	matthew hill
79A13CC1	daniel gorin
79D26DE6	stefan wolfl
7ACF7074	andrew dankers
7B162D76	rochelle ohagan
7C893998	viorela ila
7CB08804	duy t ngo
7D11A774	jeremy e dawson
7D876992	rishabh mehrotra
7D94FE8F	sungsik huh
7DD6A30D	fredrik kahl
7EC2FB16	alex grant
7EC90BEB	dan xu
7EEFCF00	jihui zhang
7EF6F280	paolo remagnino
7F3DC5EA	jennifer abernethy
7F80E4F8	sing bing kang
7F8E5179	junwei ge
80E4FD42	b t cox
815D8B89	david r w barr
8280CF38	mohsen zamani
8371417C	alexander filler
8456434F	yongduek seo
85015419	govardhan aliseri
85311F04	stephen barrass
853E811D	s p thompson
018F5DE3	michael felsberg
0C11FF02	sharifa alghowinem
1093B787	mohammad deghat
113D0842	bhaskara marthi
13253DEC	anil nerode
523C202A	jan leike
61BF44C1	jens c pruessner
778467BC	ashkan amirsadri
784EDD07	w v pinczewski
78602530	james popple
78C6308E	rashed noman
793151E7	janmichael frahm
79456EC7	christoph bockisch
79AF217E	julian mcauley
7B817CB4	dian tjondronegoro
7D19B7DB	adrian n bishop
7DCD07F5	b d anderson
7E8E88BA	rauf iqbal
7F2BF017	sahibzada u latif
7F313D97	heyang li
7F439A0D	lorenzo marconi
7F4DF8FF	diedrich wolter
8030D6C1	brendan harding
80569422	dimitrios kokkinakis
805A2828	gustavo fernandez
80AB0AAB	van khanh nguyen
80BD997B	nianjun liu
8120CCE9	song wang
8146D592	guodong shi
822570D8	chanchal k roy
82486A16	srinivas chemboli
82A89F26	timothy jones
82D37E29	jiri matas
848CDF84	david shaw
84C5B63E	terence betlehem
85281B1B	gordon mcintyre
863158FA	melissa j green
03125FBF	rustam stolkin
096CCA6A	nicole megow
0A061C9C	gunnar ratsch
0AFAB6CA	stefan kratsch
0E8DF89D	alban grastien
12A5015B	sharon oleskevich
18222083	a s berdinsky
2B3D2E13	francois chaumette
37AA2522	norbert boeddeker
4273F927	vaibhav gavane
471D1C7E	karen d loch
79A41BF1	andrew fogden
7A4F25AB	charles gretton
7D093BDF	roger clarke
7D2D10D4	amy fu
7D41C23E	hongxing he
7DC43BB7	michael m wagner
7E7421B8	xiaofan chen
7E7B5938	jie chen
7EF384BB	lixin cai
7F2F6C56	geyong min
7F83C64D	pichao wang
7FA5EEF5	s mehdi hashemi
80114E7E	mark c reed
8068A1E7	joseph guillaume
80E98722	guanrong chen
8133908C	shinichi satoh
81359EA9	benyuan liu
82E79CBA	holger schmidt
82FFAF9D	arjen k lenstra
8460ABE2	volker hilsenstein
84A34210	jianshu chao
84ACDCA3	cody james christopher
84D80F20	james roper
84F1C94B	b walmsey
84F3FCC4	bin liu
8535AFBF	authors
853F9248	mohammad m rahman
854B8863	roland goeck
8556AB00	jun zhou
0863C985	peter a zadrozny
5543B7BE	zeeshan hayder
7630FB76	matthew p hyett
766C0036	jeanpierre guillon
76B637DB	duncan stevenson
7A0307AC	edwin r hancock
7A6239BD	noureddine bounoua
7BD1BD08	muralikrishna sridhar
7CECDDB5	b dodson
7CF2F229	s k dey
7D70D7C0	mingchao yu
7D83FDB1	hao shen
7DC10067	eddie li
7DC44A33	hua o wang
7E3853C8	jordan christensen
7E6DB936	bob williamson
7E79107B	ramana kumar
7F111196	wenzheng xu
7F2717B1	liansheng tan
7FBF4863	michael ulbrich
7FE012C2	jeff gilchrist
803D5F21	eric fabre
80522C1E	kar wai lim
8052A780	soohwan kim
80D2BA1E	jonathan e cooper
811645A9	b j turner
824627FF	patrik haslum
8522A909	arun jagota
853B188E	jaewon kim
0AB2D84F	thomas s brinsmead
72EE9A3C	abdul sattar
757C1901	linh anh nguyen
765A0D41	w d emmerich
79A6A108	jennifer b sartor
79C35621	elisabeth felsenstein
7AA8450D	pawalai kraipeerapun
7B886488	matthias weidlich
7C35DC10	aditi barthwal
7D449D6F	brett wilkinson
7DDB19DA	wenwu zhu
7E69376D	jussi rintanen
7E6F18CD	lucia santoso
7E73A265	irfan altas
7EBD5B66	peng wang
7F32F1A4	xiaoxing guo
7F674D4C	yinlong xu
7FA281B8	xi yang
7FD0E75A	bing bing zhou
7FDA2EBD	matthew turk
8094A17E	martin wehrle
81045F00	peter w carr
8111983A	janghoon yang
811E5728	toby walsh
820CD053	william e hughes
8392F1A6	matthew driscoll
847AC1E9	craig saint
853E6CF4	pattie maes
862BD9D8	peter read
058309F8	michael r frater
4B480972	xavier mary
63263985	robert sok
6C239C48	peter a flach
738F7590	david newth
77228643	filippo maria fazi
790EE9CE	katarina mele
7994F980	andrew sorensen
7A2062D0	marc g bellemare
7A31C8E4	marcus hutter
7A5D534F	t d gedeon
7AB71285	g j mclachlan
7BB5C392	areej alwabil
7C9C6B93	matt duckham
7CF22D08	karin strauss
7D798CC7	jose m alvarez
7DB144ED	choon hui teo
7E2A3F94	john c platt
7E312E8D	carsten schurmann
7E6EA6CE	norman foo
7EA17D85	c a murthy
7F93D5B0	hongguang ren
80C3AD3E	john uhlmann
82082C34	liam obrien
8473C8CC	arvin dehghaniz
84C4C579	sheppard adrian
84F986FC	yang zhen
8506D4F3	melissa fedrigo
8539D9D9	cong wang
022CE7A0	pakpong jantapremjit
04EF842D	bradley e treeby
0CAE197E	luke nguyenhoan
11C19B28	laszlo t koczy
297FBA17	terry caelli
49127571	zoe e brain
55B17996	dorothy monekosso
5CBEA617	anbulagan anbulagan
712B6DE7	hendra i nurdin
76E85813	joerg hoffmann
78DC84BB	felix schill
79D67F6D	paul c leyland
7B6948DE	ilya a sharapov
7C9FC702	conrad sanderson
7D4AE9CE	ying chen
7E25B832	jason r chen
7E469893	zhe hou
7E52D700	jeffrey xu yu
7F1DAB54	xianchao zhang
7F85DF97	xuchun li
7FA48014	hyunchul shim
7FB97E50	xiaoming wu
7FC08D03	jason saragih
8031F841	stephen t hyde
805AACBC	baichen chen
80ACE757	lois b obrien
80EDF8CB	dana s nau
8166139F	john f arnold
84493B76	dirk pattinson
84DB19E1	j zhang
84F0681D	krishna murthy mudumbi
859C90DF	weiming liu
862F9EA4	huijun gao
075D261F	erez petrank
0A5A0CD8	yannick pencole
0E04B5E1	rotem bentzur
13C7F9A1	sophie pinchinat
253A4BE6	knut huper
2C44DCFB	oday jerew
6B6F3E6D	sam reisenfeld
75893AFE	malin premaratne
79563FD9	jun tu
79AC673B	bin liu
79EA4B27	peter l montgomery
7A5B3737	mahdieh hasheminezhad
7AAD9AF6	martin henschke
7AF9345C	xinwang liu
7BD3EF93	todd mytkowicz
7C4CD8E8	amir aryani
7D1E4807	mark a poletti
7D344724	richard lucas
7D65D13D	jingyuan zhang
7DC23586	petra philips
7DD7B88B	kathy griffiths
7DDD03DE	jaein jeong
7E7B8AC2	tyler h summers
7E7F8EB8	yan jennifer wu
7F1A0317	junliang xing
7F84952D	niloofar gheissari
8009C3E0	jamie callan
803932AB	haley jones
8050CB21	michael anderson
806DBBF9	huan zhang
8082CE4E	liying wei
80D8DBC2	dongsong ban
80E14D77	jonathan smillie
80EBC6FE	jamil y khan
80FA787C	brian d o anderson
8110CEA4	matthew r james
813B2AFE	shoudong huang
814E934F	rebecca allen
81AFBBA9	jaeyong chung
81B256BE	zahra mobini
82E70473	adrien bartoli
84424FAA	xiao chun hong
84CB07BA	b do anderson
84F06B05	yiran xie
85713A41	gunther grabner
85827A07	k l teo
85951043	daniel harabor
85F404EB	perry chang
1587731B	snezana krusevac
299C61B8	albert y zomaya
379826A0	samuel a inverso
45DA230E	danail traskov
56EAF550	antonio boluferohler
702A8349	shahriar etemadi tajbakhsh
753AC5ED	thomas a ocallaghan
764E2398	martin zinkevich
7B366785	gunnar nilsson
7B669FEC	marieodile cordier
7BA664D3	michael t compton
7C4742F9	martin schaf
7D264475	di yang
7D2BD213	florian rosenberg
7D57D389	christian witte
7D71305D	wilson ong
7E2BE306	dingyun zhu
7E9B8DD4	kokleong ong
7EA73A40	ali zia
7F1B6B29	xiaomeng zhang
7F65354D	miranda zhang
7FA9BDD7	s chan
7FDC8BE0	richard bowden
7FF96319	donglu wang
804934A5	jun zhou
80774841	anna carnerup
8116AEEE	peter j smith
816F0B51	peter f sweeney
81ED3247	uwe r zimmer
82FFE210	nicolas della penna
83380BD1	robert mahony
8401B890	rolf schwitter
847686DC	nicolo malaguttiy
84E1A909	chunyan su
851E4DCB	lei wang
8574033C	geraimos potamianos
0261EB40	martin vechev
1059E5DF	sarah alghuwinem
12EA45D8	ramesh sankaranarayana
2B86E690	alistair p rendell
3E3802DC	herbert a fruchtl
7198B7A7	sara frug
758BCF52	abid ghous
764F11F1	james g burchfield
76D4EB4D	helen wright
77633985	fatih porikli
7850992C	p n bierwirth
78D028AC	ylies falcone
79121F7B	xavier bombois
79D2A634	victor milman
7AE074BB	reza shams
7B5D3D4A	prasad t samarasinghe
7B69806B	daniel peter dallas
7C3CD576	pete p janes
7CF5B89F	m m hassan mahmud
7D139A0A	yue xu
7D8884B8	kerry taylor
7DA28784	helen d ennis
7DB468CF	andrew l janke
7DB4D758	akshay asthana
7DC63916	alex lee
7DD9D128	jing guo
7FC3D864	greg okeefe
7FE09CB0	gaurav mitra
8030A312	john b moore
803D5846	yansheng ming
80622092	muhammad hanif
810CF90F	james petterson
81744029	tim pugh
8204811C	tim jones
8349F8BA	shaji krishnan
838CDC44	lin gu
839B5408	nicolas normand
84768384	a v brasch
85178216	p s chaudhuri
85200DA0	vivek kumar
853A8D84	adi botea
85B582CA	yiming ji
85D70734	kai xu
0BD4E10E	sotiris s xantheas
49583657	paul leopardi
5B33C561	craig watman
772A575B	marek e bialkowski
7779D715	suresh venkatasubramanian
7783A142	rajiv ranjan
78FF5607	ajay jayaraj
7A48638C	alistair p l rendell
7AFCB3FC	ben e nizette
7C70C468	florian widmann
7CAB86A8	adrian sheppard
7D0AB797	emily baird
7D27F5C7	md tofazzal hossain
7DB8A87C	weidong chen
7DF1483E	yanxiang wang
7E36828A	zhixin miao
7EB3708A	james f montgomery
7EB5A18A	jason jingshi li
7EFB575D	jeancharles bazin
7F313865	robin garner
7F620880	stephen d roberts
8039769B	stephen j roberts
80431591	eusebio scornavacca
815FC807	lingqiao liu
821DB41A	s w zhang
841C05A8	qi wang
8439452A	navinda kottege
84BBF431	arrian purcell
84E5DCDC	david nister
850794FC	craig wang
858E3759	jian wang
8594A10E	w j foley
85A4DFF2	bo li
104207D4	sebastien rougeaux
1B5D95AC	david a shamma
1B9EB65C	masoud faraki
72DA1EC5	abhinav dhall
7333C417	ping xue
74F4347C	yasushi hada
75E805A1	david hyunchul shim
7622E7ED	iman shames
7652A122	henri der sarkissian
76FB89C9	wynita m griggs
77ACEBBE	joel veness
78802A70	karel lebeda
78D91B87	stuart ramsden
792CE5A7	hamid r rabiee
7A001767	hridesh rajan
7A41E60D	ranald clouston
7AF39908	lei wei
7B84E1BA	adam kowalczyk
7C4190B4	linda buisman
7D08F6A2	yingyu wan
7DFEA8A9	shekhar chandra
7ED5187A	daniel frampton
7EF321D4	luis a duffaut espinosa
7F438044	ned kock
7F53B365	richard p brent
7FA3CECD	adnan shah
7FCE68ED	perry cheng
801FA6B8	james w montgomery
8085509E	iain little
80F07540	wen zhang
8106074F	zhenlin wang
81163BD7	kerry olesen
81222BAD	james montgomery
82479E27	chris sweeney
8274D9C4	jian zhang
83779960	lei wang
84779215	boby thekkanath
847C349D	changbin vu
84EA542F	guanjun ma
855B8E0F	xiaoqin chen
85B76FE6	vladimir nikulin
1E8CFC46	kurt mehlhorn
613AB519	supakit charnvanichborikarn
731A1090	sameh sorour
756B5FF7	tareq y alnaffouri
76FC353E	omri guttman
77920025	k pfitzner
7A16110B	nicol n schraudolph
7A2CA0C1	leif w hanlen
7C588148	dragan nesic
7D5C6CA2	rui cao
7D97744D	ole nielsen
7DA9E3D7	hao chen
7E8029E8	robert c williamson
7EED4799	mark wallace
7F0E7ECF	liying wei
7F749461	amy y c liu
7FB60004	mohammad s karim
7FF39791	rueyjen yang
801C8CE0	andrew kingston
803C45BB	xuming he
80D0B613	guofeng zhang
81117EBD	deborah bird rose
813A792A	paul thomas
82489430	a stephen morse
82D8EFB1	beth cook
84B8F0CE	luke fletcher
84C2AE93	edwin davis
853AA64C	wei bai
8552C7F5	paul thomas
856F470C	fidan baris
861F4A84	ranald clouston
